for_Plot_SP_Col,For_type.x,PLOT.x,Species.x.x,Coll_No.x.x,Termi.assum.x,n.x,for_Plot.x,for_Plot_SP.x,n_absence,Termi.assum.y,n.y,n_presence
CC_192_Litsea_cubeba_Coll_5,CC,192,Litsea_cubeba,Coll_5,0,5,CC_192,CC_192_Litsea_cubeba,5,1,0,0
CC_192_Litsea_cubeba_Coll_6,CC,192,Litsea_cubeba,Coll_6,0,5,CC_192,CC_192_Litsea_cubeba,5,1,0,0
CC_214_Castanopsis_mekongensis_Coll_1,CC,214,Castanopsis_mekongensis,Coll_1,0,5,CC_214,CC_214_Castanopsis_mekongensis,5,1,0,0
CC_214_Castanopsis_mekongensis_Coll_2,CC,214,Castanopsis_mekongensis,Coll_2,0,5,CC_214,CC_214_Castanopsis_mekongensis,5,1,0,0
CC_214_Castanopsis_mekongensis_Coll_3,CC,214,Castanopsis_mekongensis,Coll_3,0,5,CC_214,CC_214_Castanopsis_mekongensis,5,1,0,0
CC_214_Castanopsis_mekongensis_Coll_4,CC,214,Castanopsis_mekongensis,Coll_4,0,5,CC_214,CC_214_Castanopsis_mekongensis,5,1,0,0
CC_214_Castanopsis_mekongensis_Coll_5,CC,214,Castanopsis_mekongensis,Coll_5,0,5,CC_214,CC_214_Castanopsis_mekongensis,5,1,0,0
CC_214_Castanopsis_mekongensis_Coll_6,CC,214,Castanopsis_mekongensis,Coll_6,0,5,CC_214,CC_214_Castanopsis_mekongensis,5,1,0,0
CC_214_Litsea_cubeba_Coll_1,CC,214,Litsea_cubeba,Coll_1,0,5,CC_214,CC_214_Litsea_cubeba,5,1,0,0
CC_214_Litsea_cubeba_Coll_2,CC,214,Litsea_cubeba,Coll_2,0,5,CC_214,CC_214_Litsea_cubeba,5,1,0,0
CC_214_Litsea_cubeba_Coll_3,CC,214,Litsea_cubeba,Coll_3,0,5,CC_214,CC_214_Litsea_cubeba,5,1,0,0
CC_214_Litsea_cubeba_Coll_4,CC,214,Litsea_cubeba,Coll_4,0,4,CC_214,CC_214_Litsea_cubeba,4,1,1,1
CC_214_Litsea_cubeba_Coll_5,CC,214,Litsea_cubeba,Coll_5,0,4,CC_214,CC_214_Litsea_cubeba,4,1,1,1
CC_214_Litsea_cubeba_Coll_6,CC,214,Litsea_cubeba,Coll_6,0,4,CC_214,CC_214_Litsea_cubeba,4,1,1,1
CC_217_Castanopsis_mekongensis_Coll_1,CC,217,Castanopsis_mekongensis,Coll_1,0,5,CC_217,CC_217_Castanopsis_mekongensis,5,1,0,0
CC_217_Castanopsis_mekongensis_Coll_2,CC,217,Castanopsis_mekongensis,Coll_2,0,5,CC_217,CC_217_Castanopsis_mekongensis,5,1,0,0
CC_217_Castanopsis_mekongensis_Coll_3,CC,217,Castanopsis_mekongensis,Coll_3,0,5,CC_217,CC_217_Castanopsis_mekongensis,5,1,0,0
CC_217_Castanopsis_mekongensis_Coll_4,CC,217,Castanopsis_mekongensis,Coll_4,0,5,CC_217,CC_217_Castanopsis_mekongensis,5,1,0,0
CC_217_Castanopsis_mekongensis_Coll_5,CC,217,Castanopsis_mekongensis,Coll_5,0,5,CC_217,CC_217_Castanopsis_mekongensis,5,1,0,0
CC_217_Castanopsis_mekongensis_Coll_6,CC,217,Castanopsis_mekongensis,Coll_6,0,5,CC_217,CC_217_Castanopsis_mekongensis,5,1,0,0
CC_217_Litsea_cubeba_Coll_1,CC,217,Litsea_cubeba,Coll_1,0,5,CC_217,CC_217_Litsea_cubeba,5,1,0,0
CC_217_Litsea_cubeba_Coll_2,CC,217,Litsea_cubeba,Coll_2,0,5,CC_217,CC_217_Litsea_cubeba,5,1,0,0
CC_217_Litsea_cubeba_Coll_3,CC,217,Litsea_cubeba,Coll_3,0,5,CC_217,CC_217_Litsea_cubeba,5,1,0,0
CC_217_Litsea_cubeba_Coll_4,CC,217,Litsea_cubeba,Coll_4,0,5,CC_217,CC_217_Litsea_cubeba,5,1,0,0
CC_217_Litsea_cubeba_Coll_5,CC,217,Litsea_cubeba,Coll_5,0,5,CC_217,CC_217_Litsea_cubeba,5,1,0,0
CC_217_Litsea_cubeba_Coll_6,CC,217,Litsea_cubeba,Coll_6,0,3,CC_217,CC_217_Litsea_cubeba,3,1,2,2
CC_240_Castanopsis_mekongensis_Coll_1,CC,240,Castanopsis_mekongensis,Coll_1,0,5,CC_240,CC_240_Castanopsis_mekongensis,5,1,0,0
CC_240_Castanopsis_mekongensis_Coll_2,CC,240,Castanopsis_mekongensis,Coll_2,0,5,CC_240,CC_240_Castanopsis_mekongensis,5,1,0,0
CC_240_Castanopsis_mekongensis_Coll_3,CC,240,Castanopsis_mekongensis,Coll_3,0,4,CC_240,CC_240_Castanopsis_mekongensis,4,1,1,1
CC_240_Castanopsis_mekongensis_Coll_4,CC,240,Castanopsis_mekongensis,Coll_4,0,4,CC_240,CC_240_Castanopsis_mekongensis,4,1,1,1
CC_240_Castanopsis_mekongensis_Coll_5,CC,240,Castanopsis_mekongensis,Coll_5,0,4,CC_240,CC_240_Castanopsis_mekongensis,4,1,1,1
CC_240_Castanopsis_mekongensis_Coll_6,CC,240,Castanopsis_mekongensis,Coll_6,0,4,CC_240,CC_240_Castanopsis_mekongensis,4,1,1,1
CC_240_Litsea_cubeba_Coll_1,CC,240,Litsea_cubeba,Coll_1,0,5,CC_240,CC_240_Litsea_cubeba,5,1,0,0
CC_240_Litsea_cubeba_Coll_2,CC,240,Litsea_cubeba,Coll_2,0,5,CC_240,CC_240_Litsea_cubeba,5,1,0,0
CC_240_Litsea_cubeba_Coll_3,CC,240,Litsea_cubeba,Coll_3,0,4,CC_240,CC_240_Litsea_cubeba,4,1,1,1
CC_240_Litsea_cubeba_Coll_4,CC,240,Litsea_cubeba,Coll_4,0,4,CC_240,CC_240_Litsea_cubeba,4,1,1,1
CC_240_Litsea_cubeba_Coll_5,CC,240,Litsea_cubeba,Coll_5,0,3,CC_240,CC_240_Litsea_cubeba,3,1,2,2
CC_240_Litsea_cubeba_Coll_6,CC,240,Litsea_cubeba,Coll_6,0,3,CC_240,CC_240_Litsea_cubeba,3,1,2,2
CC_365_Castanopsis_mekongensis_Coll_1,CC,365,Castanopsis_mekongensis,Coll_1,0,5,CC_365,CC_365_Castanopsis_mekongensis,5,1,0,0
CC_365_Castanopsis_mekongensis_Coll_2,CC,365,Castanopsis_mekongensis,Coll_2,0,5,CC_365,CC_365_Castanopsis_mekongensis,5,1,0,0
CC_365_Castanopsis_mekongensis_Coll_3,CC,365,Castanopsis_mekongensis,Coll_3,0,4,CC_365,CC_365_Castanopsis_mekongensis,4,1,1,1
CC_365_Castanopsis_mekongensis_Coll_4,CC,365,Castanopsis_mekongensis,Coll_4,0,4,CC_365,CC_365_Castanopsis_mekongensis,4,1,1,1
CC_365_Castanopsis_mekongensis_Coll_5,CC,365,Castanopsis_mekongensis,Coll_5,0,4,CC_365,CC_365_Castanopsis_mekongensis,4,1,1,1
CC_365_Castanopsis_mekongensis_Coll_6,CC,365,Castanopsis_mekongensis,Coll_6,0,4,CC_365,CC_365_Castanopsis_mekongensis,4,1,1,1
CC_365_Litsea_cubeba_Coll_1,CC,365,Litsea_cubeba,Coll_1,0,5,CC_365,CC_365_Litsea_cubeba,5,1,0,0
CC_365_Litsea_cubeba_Coll_2,CC,365,Litsea_cubeba,Coll_2,0,5,CC_365,CC_365_Litsea_cubeba,5,1,0,0
CC_365_Litsea_cubeba_Coll_3,CC,365,Litsea_cubeba,Coll_3,0,4,CC_365,CC_365_Litsea_cubeba,4,1,1,1
CC_365_Litsea_cubeba_Coll_4,CC,365,Litsea_cubeba,Coll_4,0,4,CC_365,CC_365_Litsea_cubeba,4,1,1,1
CC_365_Litsea_cubeba_Coll_5,CC,365,Litsea_cubeba,Coll_5,0,4,CC_365,CC_365_Litsea_cubeba,4,1,1,1
CC_365_Litsea_cubeba_Coll_6,CC,365,Litsea_cubeba,Coll_6,0,4,CC_365,CC_365_Litsea_cubeba,4,1,1,1
CC_398_Castanopsis_mekongensis_Coll_1,CC,398,Castanopsis_mekongensis,Coll_1,0,5,CC_398,CC_398_Castanopsis_mekongensis,5,1,0,0
CC_398_Castanopsis_mekongensis_Coll_2,CC,398,Castanopsis_mekongensis,Coll_2,0,2,CC_398,CC_398_Castanopsis_mekongensis,2,1,3,3
CC_398_Castanopsis_mekongensis_Coll_3,CC,398,Castanopsis_mekongensis,Coll_3,0,3,CC_398,CC_398_Castanopsis_mekongensis,3,1,0,0
CC_398_Castanopsis_mekongensis_Coll_4,CC,398,Castanopsis_mekongensis,Coll_4,0,3,CC_398,CC_398_Castanopsis_mekongensis,3,1,0,0
CC_398_Castanopsis_mekongensis_Coll_5,CC,398,Castanopsis_mekongensis,Coll_5,0,3,CC_398,CC_398_Castanopsis_mekongensis,3,1,0,0
CC_398_Castanopsis_mekongensis_Coll_6,CC,398,Castanopsis_mekongensis,Coll_6,0,3,CC_398,CC_398_Castanopsis_mekongensis,3,1,0,0
CC_398_Litsea_cubeba_Coll_1,CC,398,Litsea_cubeba,Coll_1,0,5,CC_398,CC_398_Litsea_cubeba,5,1,0,0
CC_398_Litsea_cubeba_Coll_2,CC,398,Litsea_cubeba,Coll_2,0,3,CC_398,CC_398_Litsea_cubeba,3,1,2,2
CC_398_Litsea_cubeba_Coll_3,CC,398,Litsea_cubeba,Coll_3,0,3,CC_398,CC_398_Litsea_cubeba,3,1,0,0
CC_398_Litsea_cubeba_Coll_4,CC,398,Litsea_cubeba,Coll_4,0,3,CC_398,CC_398_Litsea_cubeba,3,1,0,0
CC_398_Litsea_cubeba_Coll_5,CC,398,Litsea_cubeba,Coll_5,0,3,CC_398,CC_398_Litsea_cubeba,3,1,0,0
CC_398_Litsea_cubeba_Coll_6,CC,398,Litsea_cubeba,Coll_6,0,3,CC_398,CC_398_Litsea_cubeba,3,1,0,0
CC_404_Castanopsis_mekongensis_Coll_1,CC,404,Castanopsis_mekongensis,Coll_1,0,5,CC_404,CC_404_Castanopsis_mekongensis,5,1,0,0
