SN,Station,Date,SEASON,Temp_Max,Temp_Min,Temp_Avg
522,Regenerating forest,28-Jun-12,WET,21.39,17.701,19.154
523,Regenerating forest,29-Jun-12,WET,22.441,17.582,19.053
524,Regenerating forest,30-Jun-12,WET,22.25,17.296,19.235
525,Regenerating forest,1-Jul-12,WET,20.555,17.415,18.64
526,Regenerating forest,2-Jul-12,WET,21.867,17.13,18.69
527,Regenerating forest,3-Jul-12,WET,22.537,17.772,18.914
528,Regenerating forest,4-Jul-12,WET,23.28,17.843,19.681
529,Regenerating forest,5-Jul-12,WET,21.867,17.391,19.454
530,Regenerating forest,6-Jul-12,WET,21.318,17.272,18.943
531,Regenerating forest,7-Jul-12,WET,23.448,17.296,19.908
532,Regenerating forest,8-Jul-12,WET,20.913,18.176,19.064
533,Regenerating forest,9-Jul-12,WET,21.604,17.439,18.844
534,Regenerating forest,10-Jul-12,WET,22.369,17.748,19.447
535,Regenerating forest,11-Jul-12,WET,24.146,18.699,20.224
536,Regenerating forest,12-Jul-12,WET,23.208,18.461,20.032
537,Regenerating forest,13-Jul-12,WET,22.513,18.889,19.817
538,Regenerating forest,14-Jul-12,WET,19.151,17.534,18.394
539,Regenerating forest,15-Jul-12,WET,20.627,17.51,18.737
540,Regenerating forest,16-Jul-12,WET,19.698,17.891,18.569
541,Regenerating forest,17-Jul-12,WET,18.105,17.106,17.57
542,Regenerating forest,18-Jul-12,WET,18.557,17.225,17.742
543,Regenerating forest,19-Jul-12,WET,18.533,17.439,17.901
544,Regenerating forest,20-Jul-12,WET,21.032,17.605,18.701
545,Regenerating forest,21-Jul-12,WET,22.034,17.32,19.087
546,Regenerating forest,22-Jul-12,WET,19.603,17.391,18.418
547,Regenerating forest,23-Jul-12,WET,18.343,17.629,17.837
548,Regenerating forest,24-Jul-12,WET,20.936,17.653,18.915
549,Regenerating forest,25-Jul-12,WET,20.222,18.057,18.891
550,Regenerating forest,26-Jul-12,WET,18.366,16.677,17.227
551,Regenerating forest,27-Jul-12,WET,17.796,16.153,16.78
552,Regenerating forest,28-Jul-12,WET,19.151,16.725,17.842
553,Regenerating forest,29-Jul-12,WET,21.748,18.01,19.036
554,Regenerating forest,30-Jul-12,WET,21.342,17.463,18.977
555,Regenerating forest,31-Jul-12,WET,18.889,17.225,18.086
556,Regenerating forest,1-Aug-12,WET,20.865,17.51,18.522
557,Regenerating forest,2-Aug-12,WET,19.698,17.058,18.064
558,Regenerating forest,3-Aug-12,WET,19.151,16.963,17.951
559,Regenerating forest,4-Aug-12,WET,21.008,17.011,18.307
560,Regenerating forest,5-Aug-12,WET,22.92,17.249,19.293
561,Regenerating forest,6-Aug-12,WET,21.748,18.2,19.41
562,Regenerating forest,7-Aug-12,WET,21.509,17.748,18.958
563,Regenerating forest,8-Aug-12,WET,21.987,16.415,18.938
564,Regenerating forest,9-Aug-12,WET,21.103,17.748,18.726
565,Regenerating forest,10-Aug-12,WET,21.963,16.392,18.834
566,Regenerating forest,11-Aug-12,WET,23.978,17.011,19.103
567,Regenerating forest,12-Aug-12,WET,23.497,17.558,19.846
568,Regenerating forest,13-Aug-12,WET,23.472,18.366,19.728
569,Regenerating forest,14-Aug-12,WET,20.055,17.605,18.768
570,Regenerating forest,15-Aug-12,WET,19.841,17.582,18.501
571,Regenerating forest,16-Aug-12,WET,21.27,17.463,18.946
572,Regenerating forest,17-Aug-12,WET,22.8,16.725,19.387
573,Regenerating forest,18-Aug-12,WET,19.888,16.582,18.134
574,Regenerating forest,19-Aug-12,WET,18.461,17.034,17.701
575,Regenerating forest,20-Aug-12,WET,19.532,16.939,17.997
576,Regenerating forest,21-Aug-12,WET,20.889,16.32,18.51
577,Regenerating forest,22-Aug-12,WET,18.842,16.63,17.804
578,Regenerating forest,23-Aug-12,WET,21.079,16.749,18.376
579,Regenerating forest,24-Aug-12,WET,20.722,15.986,18.057
580,Regenerating forest,25-Aug-12,WET,20.722,15.843,17.832
581,Regenerating forest,26-Aug-12,WET,21.461,16.058,18.378
582,Regenerating forest,27-Aug-12,WET,22.274,16.225,18.744
583,Regenerating forest,28-Aug-12,WET,22.465,16.225,18.785
584,Regenerating forest,29-Aug-12,WET,22.8,16.534,19.312
585,Regenerating forest,30-Aug-12,WET,23.136,17.344,19.492
586,Regenerating forest,31-Aug-12,WET,23.472,18.438,19.962
587,Regenerating forest,1-Feb-13,DRY,18.081,10.663,13.88
588,Regenerating forest,2-Feb-13,DRY,18.224,12.847,14.654
589,Regenerating forest,3-Feb-13,DRY,17.796,12.122,14.029
590,Regenerating forest,4-Feb-13,DRY,20.007,13.473,15.556
591,Regenerating forest,5-Feb-13,DRY,21.939,13.137,15.985
592,Regenerating forest,6-Feb-13,DRY,21.437,12.823,16.36
593,Regenerating forest,7-Feb-13,DRY,22.321,13.401,16.912
594,Regenerating forest,8-Feb-13,DRY,22.585,14.792,17.686
595,Regenerating forest,9-Feb-13,DRY,22.729,15.461,18.196
596,Regenerating forest,10-Feb-13,DRY,23.954,16.153,18.787
597,Regenerating forest,11-Feb-13,DRY,24.026,17.344,19.351
598,Regenerating forest,12-Feb-13,DRY,23.545,16.868,19.026
599,Regenerating forest,13-Feb-13,DRY,24.074,17.796,19.876
600,Regenerating forest,14-Feb-13,DRY,22.92,15.127,18.631
601,Regenerating forest,15-Feb-13,DRY,23.328,16.701,19.38
602,Regenerating forest,16-Feb-13,DRY,25.186,17.701,20.136
603,Regenerating forest,17-Feb-13,DRY,24.726,18.129,20.385
604,Regenerating forest,18-Feb-13,DRY,25.113,17.724,19.91
605,Regenerating forest,19-Feb-13,DRY,25.016,15.27,18.463
606,Regenerating forest,20-Feb-13,DRY,24.871,16.773,19.316
607,Regenerating forest,21-Feb-13,DRY,26.818,17.153,20.075
608,Regenerating forest,22-Feb-13,DRY,23.064,17.391,19.122
609,Regenerating forest,23-Feb-13,DRY,21.939,16.392,18.002
610,Regenerating forest,24-Feb-13,DRY,24.726,14.457,18.088
611,Regenerating forest,25-Feb-13,DRY,25.04,16.915,19.635
612,Regenerating forest,26-Feb-13,DRY,25.55,16.606,19.721
613,Regenerating forest,27-Feb-13,DRY,25.598,16.987,19.902
614,Regenerating forest,28-Feb-13,DRY,25.744,15.796,19.624
615,Regenerating forest,1-Mar-13,DRY,26.158,17.13,20.24
616,Regenerating forest,2-Mar-13,DRY,24.968,17.701,20.511
617,Regenerating forest,3-Mar-13,DRY,22.537,18.105,19.856
618,Regenerating forest,4-Mar-13,DRY,18.247,15.39,17.069
619,Regenerating forest,5-Mar-13,DRY,20.007,14.649,16.073
620,Regenerating forest,6-Mar-13,DRY,22.369,15.055,17.677
621,Regenerating forest,7-Mar-13,DRY,22.345,15.414,17.738
622,Regenerating forest,8-Mar-13,DRY,19.365,14.529,17.118
623,Regenerating forest,9-Mar-13,DRY,21.987,12.582,16.158
624,Regenerating forest,10-Mar-13,DRY,23.689,14.745,17.923
625,Regenerating forest,11-Mar-13,DRY,23.833,15.247,18.461
626,Regenerating forest,12-Mar-13,DRY,24.002,15.27,18.358
627,Regenerating forest,13-Mar-13,DRY,24.412,14.242,18.202
628,Regenerating forest,14-Mar-13,DRY,25.283,16.034,19.349
629,Regenerating forest,15-Mar-13,DRY,25.55,17.272,20.184
630,Regenerating forest,16-Mar-13,DRY,26.793,17.772,20.922
631,Regenerating forest,17-Mar-13,DRY,29.14,16.844,20.865
632,Regenerating forest,18-Mar-13,DRY,27.776,18.2,21.207
633,Regenerating forest,19-Mar-13,DRY,26.475,16.225,20.115
634,Regenerating forest,20-Mar-13,DRY,26.916,14.673,19.394
635,Regenerating forest,21-Mar-13,DRY,26.28,16.129,19.638
636,Regenerating forest,22-Mar-13,DRY,26.916,16.606,20.115
637,Regenerating forest,23-Mar-13,DRY,25.55,16.439,20.039
638,Regenerating forest,24-Mar-13,DRY,27.751,15.963,20.365
639,Regenerating forest,25-Mar-13,DRY,26.671,16.963,20.633
640,Regenerating forest,26-Mar-13,DRY,27.038,18.152,21.194
641,Regenerating forest,27-Mar-13,DRY,27.579,18.033,21.49
642,Regenerating forest,28-Mar-13,DRY,29.19,18.485,22.32
643,Regenerating forest,29-Mar-13,DRY,28.543,19.008,22.407
644,Regenerating forest,30-Mar-13,DRY,28.493,19.841,22.46
645,Regenerating forest,31-Mar-13,DRY,26.573,19.008,21.786
646,Regenerating forest,1-Apr-13,DRY,26.207,18.961,21.479
647,Regenerating forest,2-Apr-13,DRY,28.444,17.439,21.581
648,Regenerating forest,3-Apr-13,DRY,28.493,18.224,22.187
649,Regenerating forest,4-Apr-13,DRY,29.389,18.366,22.338
650,Regenerating forest,5-Apr-13,DRY,27.998,19.722,22.439
651,Regenerating forest,6-Apr-13,DRY,27.776,17.962,21.752
652,Regenerating forest,7-Apr-13,DRY,29.19,18.58,22.284
653,Regenerating forest,8-Apr-13,DRY,28.916,18.271,22.301
654,Regenerating forest,9-Apr-13,DRY,29.14,19.08,22.871
655,Regenerating forest,10-Apr-13,DRY,25.817,17.463,21.606
656,Regenerating forest,11-Apr-13,DRY,27.063,19.793,22.113
657,Regenerating forest,12-Apr-13,DRY,28.99,19.722,23.177
658,Regenerating forest,13-Apr-13,DRY,29.04,19.175,22.315
659,Regenerating forest,14-Apr-13,DRY,26.549,18.152,21.121
660,Regenerating forest,15-Apr-13,DRY,28.345,17.843,21.782
661,Regenerating forest,16-Apr-13,DRY,26.134,16.415,19.435
662,Regenerating forest,17-Apr-13,DRY,25.793,15.819,19.827
663,Regenerating forest,18-Apr-13,DRY,27.431,18.01,21.562
664,Regenerating forest,19-Apr-13,DRY,29.439,18.913,22.309
665,Regenerating forest,20-Apr-13,DRY,30.748,19.032,23.222
666,Regenerating forest,21-Apr-13,DRY,29.265,20.793,23.735
667,Regenerating forest,22-Apr-13,DRY,28.493,18.271,22.639
668,Regenerating forest,23-Apr-13,DRY,29.865,18.319,22.53
669,Regenerating forest,24-Apr-13,DRY,27.702,18.675,21.97
670,Regenerating forest,25-Apr-13,DRY,30.722,19.746,23.056
671,Regenerating forest,26-Apr-13,DRY,25.963,17.296,20.621
672,Regenerating forest,27-Apr-13,DRY,28.742,18.771,22.413
673,Regenerating forest,28-Apr-13,DRY,27.751,17.082,20.671
674,Regenerating forest,29-Apr-13,DRY,26.744,15.676,19.969
675,Regenerating forest,30-Apr-13,DRY,29.165,19.413,22.633
